Minerio A,Minerio B,Minerio C,Minerio D,Minerio E,Minerio F,Minerio G,Minerio H,Minerio I,Minerio J,Minerio K,Minerio L,Minerio M,Minerio N,Minerio O,Minerio P,Minerio Q,Minerio R,Minerio S,Minerio T,Minerio U,DOMAIN
0.0,0.0,0.0,0.0,4.206820776,0,33.64011843,0.0,8,0,10.07038176,0.0,0.0,7.922738419,0.0,0.0,34.32349758,0,0,0.0,1.323704056,3
0.0,0.0,0.0,0.0,4.08106761,0,33.79661513,0.0,8,0,9.941587323,0.0,0.0,8.315066302,0.0,0.0,34.23679918,0,0,0.0,1.20799176,3
0.0,0.0,0.0,0.0,3.663229526,0,34.07285746,0.0,7,0,9.331011063,0.0,0.0,8.401876217,0.0,0.0,35.77333578,0,0,0.0,1.264671471,3
0.0,0.0,0.0,0.0,3.397846114,0,34.26429568,0.0,6,0,9.188919828,0.0,0.0,8.463230954,0.0,0.0,36.45233026,0,0,0.0,1.377748167,3
0.0,0.0,0.0,0.0,3.167212801,0,34.43852475,0.0,6,0,8.895407041,0.0,0.0,8.491201288,0.0,0.0,37.20581011,0,0,0.0,1.409608165,3
0.0,0.0,0.0,0.0,3.810916853,0,34.07642425,0.0,7,0,9.661592469,0.0,0.0,8.383515025,0.0,0.0,34.92365255,0,0,0.0,1.228463297,3
0.0,0.0,0.0,0.0,4.044158826,0,33.6392998,0.0,7,0,11.41807096,0.0,0.0,7.698501913,0.0,0.0,33.28566728,0,0,0.0,1.930047907,3
0.0,0.0,0.0,0.0,4.3112666,0,33.50853838,0.0,8,0,11.50836607,0.0,0.0,7.629548551,0.0,0.0,32.57096969,0,0,0.0,1.770176295,3
0.0,0.0,0.0,0.0,4.331136161,0,33.35875678,0.0,8,0,12.80830868,0.0,0.0,7.384850858,0.0,0.0,31.37753989,0,0,0.0,2.295256221,3
0.0,0.0,0.0,0.0,3.771296503,0,33.66166831,0.0,6,0,11.09166858,0.0,0.0,7.404207061,0.0,0.0,34.87375674,0,0,0.0,2.198610112,3
0.0,0.0,0.0,0.0,3.754751181,0,34.09160573,0.0,7,0,8.760051924,0.0,0.0,8.520857658,0.0,0.0,36.039911,0,0,0.0,0.953991991,3
0.0,0.0,0.0,0.0,2.736008061,0,34.82428274,0.0,5,0,7.350552887,0.0,0.0,8.922511024,0.0,0.0,39.5931088,0,0,0.0,1.086744956,3
0.0,0.0,0.0,0.0,3.045033627,0,34.69946803,0.0,6,0,7.889442866,0.0,0.0,9.687668367,0.0,0.0,37.31028296,0,0,0.0,0.748733321,3
0.0,0.0,0.0,0.0,3.626076926,0,34.44067514,0.0,8,0,8.990872901,0.0,0.0,10.27584786,0.0,0.0,34.06663176,0,0,0.0,0.499847095,3
0.0,0.0,0.0,0.0,3.586102232,0,34.47863307,0.0,8,0,8.503870296,0.0,0.0,10.53067365,0.0,0.0,34.32206538,0,0,0.0,0.243570604,3
0.0,0.0,0.0,0.0,3.011949846,0,34.45902629,0.0,5,0,10.20863025,0.0,0.0,9.08640225,0.0,0.0,35.72768083,0,0,0.0,1.855365744,3
0.0,0.0,0.0,0.0,2.57639606,0,35.21120951,0.0,5,0,7.807391475,0.0,0.0,10.22670296,0.0,0.0,38.00752299,0,0,0.0,0.908861492,3
0.0,0.0,0.0,0.0,2.77320438,0,35.00945552,0.0,5,0,8.036148474,0.0,0.0,10.01128277,0.0,0.0,37.5280244,0,0,0.0,0.917514657,3
0.0,0.0,0.0,0.0,2.737864628,0,34.94745396,0.0,5,0,8.320059148,0.0,0.0,9.871122364,0.0,0.0,37.45633978,0,0,0.0,1.090917362,3
0.0,0.0,0.0,0.0,2.716451467,0,34.92561772,0.0,5,0,8.806540917,0.0,0.0,9.805463809,0.0,0.0,37.05891658,0,0,0.0,1.302708926,3
0.0,0.0,0.0,0.0,2.419138641,0,35.198453,0.0,4,0,7.72576318,0.0,0.0,9.694505223,0.0,0.0,39.10076871,0,0,0.0,1.192347541,3
0.0,0.0,0.0,0.0,2.912412766,0,34.82329578,0.0,6,0,7.950102761,0.0,0.0,9.660310023,0.0,0.0,37.7154868,0,0,0.0,0.916466771,3
0.0,0.0,0.0,0.0,2.853088467,0,35.20357663,0.0,6,0,6.754962781,0.0,0.0,11.07399185,0.0,0.0,37.37132292,0,0,0.0,0.0,3
0.0,0.0,0.0,0.0,2.672097641,0,35.10058609,0.0,5,0,7.628167153,0.0,0.0,10.00677167,0.0,0.0,38.1652658,0,0,0.0,0.834356088,3
0.0,0.0,0.0,0.0,2.498180473,0,35.0223322,0.0,4,0,7.043998751,0.0,0.0,8.948822007,0.0,0.0,40.5178551,0,0,0.0,1.162840742,3
0.0,0.0,0.0,0.0,1.446953148,0,35.68685798,0.0,1,0,5.838508062,0.0,0.0,8.67622727,0.0,0.0,44.64423046,0,0,0.328645069,1.614328375,3
0.0,0.0,0.0,0.0,2.412896498,0,35.05418848,0.0,4,0,7.273080953,0.0,0.0,8.901685439,0.0,0.0,40.49826818,0,0,0.0,1.314644308,3
0.0,0.0,0.0,0.0,2.678164346,0,34.87742578,0.0,5,0,7.27356701,0.0,0.0,8.844914231,0.0,0.0,39.9525345,0,0,0.0,1.145382238,3
0.0,0.0,0.0,0.0,2.708159795,0,34.85381487,0.0,5,0,6.998589169,0.0,0.0,8.704347407,0.0,0.0,40.39053193,0,0,0.0,1.091974963,3
0.0,0.0,0.0,0.0,3.654526244,0,34.13698024,0.0,7,0,8.052160731,0.0,0.0,7.951286229,0.0,0.0,37.79703035,0,0,0.0,1.012149495,3
0.0,0.0,0.0,0.0,3.821135515,0,33.94222361,0.0,7,0,8.214269332,0.0,0.0,7.756031197,0.0,0.0,37.50502143,0,0,0.0,1.033132479,3
0.0,0.0,0.0,0.0,4.138520565,0,33.70389866,0.0,8,0,8.753111759,0.0,0.0,7.732000163,0.0,0.0,36.21189423,0,0,0.0,1.00265566,3
0.0,0.0,0.0,0.0,4.087531318,0,33.79298446,0.0,8,0,8.782493206,0.0,0.0,7.75547158,0.0,0.0,36.18244598,0,0,0.0,1.013754664,3
0.0,0.0,0.0,0.0,4.137160355,0,33.71896199,0.0,8,0,8.91786972,0.0,0.0,7.728357481,0.0,0.0,35.97753556,0,0,0.0,1.043380571,3
0.0,0.0,0.0,0.0,4.440239191,0,33.49613477,0.0,9,0,9.320783776,0.0,0.0,7.783918912,0.0,0.0,34.77287997,0,0,0.0,0.946711923,3
0.0,0.0,0.0,0.0,3.963946378,0,33.88489534,0.0,8,0,8.525803021,0.0,0.0,7.818563354,0.0,0.0,36.66728342,0,0,0.0,0.987508228,3
